date|time|description|vendor|amount
2023-04-15|10:13:25|Ergonomic Keyboard|Amazon|-89.50
2023-04-15|11:15:00|Invoice 1001 Paid|Joe|1500.00
2023-05-02|09:45:12|Office Chair|IKEA|-249.99
2023-05-05|14:10:48|Monthly Subscription|Spotify|-9.99
2023-05-10|16:30:00|Consulting Payment|Client A|1200.00
2023-06-01|08:55:22|Coffee Beans|Starbucks|-18.25
2023-06-12|13:20:15|Website Maintenance Fee|GoDaddy|-45.00
2023-06-20|19:42:37|Logo Design Payment|Upwork|-150.00
2023-07-03|10:12:10|Invoice 1050 Paid|Client B|2100.00
2023-07-12|17:15:00|Groceries|Whole Foods|-132.80
2023-08-01|08:02:30|Freelance Payment|Fiverr|450.00
2023-08-04|12:10:05|Adobe Subscription|Adobe|-32.99
2023-09-09|10:30:10|Office Rent|WeWork|-1200.00
2023-09-18|15:45:25|Invoice 1100 Paid|Client C|1800.00
2023-10-02|09:10:50|Cloud Storage|Google|-10.00
2023-10-06|18:25:30|Dinner Meeting|Olive Garden|-76.40
2023-10-10|08:55:00|Equipment Sale|eBay|275.00
2023-10-20|13:40:22|Freelance Project Payment|Client D|950.00
2023-11-05|09:25:15|Office Supplies|Staples|-65.30
2023-11-11|11:10:00|Invoice 1205 Paid|Client E|1650.00
2023-12-01|10:00:00|Electric Bill|Power Co|-140.60
2023-12-22|17:30:50|End of Year Bonus|Company|2500.00
2024-01-04|09:12:18|Coffee|Starbucks|-7.45
2024-01-15|14:22:10|Monthly Retainer Payment|Client F|1800.00
2024-02-05|08:45:00|Internet Bill|Comcast|-89.99
2024-02-20|12:55:20|Printer Ink|Office Depot|-29.99
2024-03-03|09:18:30|Website Hosting Renewal|GoDaddy|-120.00
2024-03-10|15:40:45|Invoice 1400 Paid|Client G|2100.00
2024-04-05|08:55:00|Freelance Consulting|Upwork|600.00
2024-05-11|17:22:00|Office Cleaning|CleanPro|-250.00
2024-06-07|10:50:35|Invoice 1505 Paid|Client H|1450.00
2024-07-01|09:05:12|Team Lunch|Chipotle|-83.75
2024-08-03|11:15:45|Software License|Microsoft|-99.00
2024-08-12|08:30:00|Invoice 1600 Paid|Client I|2200.00
2024-09-09|14:18:50|Photo Equipment|Best Buy|-320.00
2024-10-01|10:00:00|Domain Renewal|Namecheap|-14.99
2024-10-09|13:50:40|Consulting Fee|Client J|950.00